Name,Ingredients,Procedure,Serving,Suitable for Diabetic Patients to Eat,Calorie of the food,Approximate time for cooking(Minute)
Adhirasam,"Rice flour, Jaggery, Cardamom powder, Oil for frying","Preparation of Rice Flour:

Wash and soak 2 cups of raw rice in water for 4-5 hours.
Drain the water completely and spread the rice on a cloth to dry for 15-20 minutes.
Grind the dried rice into a fine powder.
Preparation of Jaggery Syrup:

Heat 2 cups of grated jaggery with 1/4 cup water in a thick-bottomed pan until it dissolves.
Strain the syrup to remove impurities.
Making the Adhirasam Dough:

Mix the rice flour with the jaggery syrup to form a smooth dough.
Add 1/4 teaspoon of cardamom powder and mix well.
Shaping Adhirasam:

Take a small portion of the dough and shape it into a smooth ball.
Flatten the ball to form a small disc of about 1/4 inch thickness.
Frying Adhirasam:

Heat oil in a pan on medium heat.
Fry the shaped adhirasam until golden brown on both sides.
Drain excess oil using paper towels.
Cooling and Storing:

Allow the fried adhirasam to cool completely before serving.
Store in an airtight container.",Serve as a sweet treat during festivals or special occasions.,No,90,45
Aloo Gobi,"Potatoes, Cauliflower, Onions, Tomatoes, Ginger-garlic paste, Turmeric powder, Cumin seeds, Coriander powder, Garam masala, Fresh coriander leaves, Oil, Salt","Preparation:

Wash the potatoes and cauliflower thoroughly. Cut them into the desired size and keep them aside.
Finely chop the onions, tomatoes, and green chilies. Grate or mince the ginger and garlic.
Sautéing:

Heat 2-3 tablespoons of oil in a pan or kadhai over medium heat.
Add the cumin seeds and let them splutter.
Add the chopped onions and sauté until they turn translucent.
Cooking Potatoes and Cauliflower:

Add the grated ginger and minced garlic to the pan. Sauté for a minute until the raw smell disappears.
Add the cubed potatoes and cauliflower florets to the pan.
Sprinkle turmeric powder, red chili powder, coriander powder, and salt over the vegetables. Mix well to coat the spices evenly.
Cover and Cook:

Cover the pan with a lid and let the vegetables cook on low to medium heat. Stir occasionally to prevent sticking and ensure even cooking.
Cook until the potatoes and cauliflower are tender yet firm, usually takes around 10-15 minutes.
Adding Tomatoes and Green Chilies:

Once the vegetables are almost cooked, add the chopped tomatoes and slit green chilies to the pan.
Stir well and continue to cook for another 5-7 minutes until the tomatoes soften and blend into the mixture.
Finishing Touches:

Sprinkle garam masala powder over the cooked Aloo Gobi and mix gently.
Cook for another 1-2 minutes to allow the flavors to meld together.
Turn off the heat and transfer the Aloo Gobi to a serving dish.
Garnish and Serve:

Garnish with fresh coriander leaves before serving.
Aloo Gobi pairs well with roti, naan, or rice dishes.",Serve hot with rotis or steamed rice.,Yes,200,30
Aloo Matar,"Potatoes, Green peas, Onions, Tomatoes, Ginger-garlic paste, Turmeric powder, Cumin seeds, Coriander powder, Garam masala, Fresh coriander leaves, Oil, Salt","Sautéing Aromatics:

Heat oil in a pan over medium heat.
Add cumin seeds and let them splutter.
Add finely chopped onions and sauté until they turn golden brown.
Adding Spices:

Add minced ginger and garlic to the pan. Sauté for a minute until the raw smell disappears.
Stir in turmeric powder, coriander powder, cumin powder, and red chili powder. Cook for a minute to toast the spices.
Cooking Potatoes and Peas:

Add cubed potatoes to the pan and mix well with the spices.
Pour in a little water to help cook the potatoes, cover the pan, and let it simmer until the potatoes are partially cooked.
Adding Tomatoes:

Once the potatoes are partially cooked, add chopped tomatoes to the pan. Stir well to combine.
Simmering:

Cover the pan and let the mixture simmer until the tomatoes are softened and start to break down.
Adding Peas:

Add fresh or frozen peas to the pan. Mix well and continue to simmer until the peas are cooked through.
Adjusting Seasoning:

Taste the curry and adjust the seasoning with salt and more spices if needed.
Finishing Touches:

Once the potatoes and peas are fully cooked and the curry has reached your desired consistency, sprinkle garam masala powder and chopped cilantro over the dish.
",Serve hot with rotis or steamed rice.,Yes,220,30
Aloo Methi,"Potatoes, Fresh fenugreek leaves (methi), Onions, Tomatoes, Green chilies, Ginger-garlic paste, Turmeric powder, Cumin seeds, Coriander powder, Garam masala, Oil, Salt","Preparation:

Wash the fenugreek leaves (methi) thoroughly under running water to remove any dirt or impurities. Chop them finely and set aside.
Peel and dice the potatoes into small cubes. Keep them immersed in water to prevent discoloration.
Sautéing Aromatics:

Heat oil in a pan over medium heat.
Add cumin seeds and let them crackle.
Add finely chopped onions and sauté until they turn translucent.
Cooking Potatoes:

Drain the water from the diced potatoes and add them to the pan.
Stir well to coat the potatoes with the onions and oil.
Cover the pan and cook the potatoes until they are partially tender, stirring occasionally to prevent sticking.
Adding Spices:

Once the potatoes are partially cooked, add turmeric powder, red chili powder, coriander powder, and salt to taste.
Mix well to incorporate the spices evenly.
Adding Fenugreek Leaves:

Add the finely chopped fenugreek leaves (methi) to the pan.
Mix well to combine the fenugreek leaves with the potatoes and spices.
Cover the pan and let it cook for a few minutes until the fenugreek leaves wilt and release their aroma.
Simmering:

Uncover the pan and let the mixture simmer for a few more minutes until the potatoes are fully cooked and tender, and the fenugreek leaves are well incorporated.
Adjusting Seasoning:

Taste the dish and adjust the seasoning according to your preference, adding more salt or spices if needed.
Finishing Touches:

Once the potatoes and fenugreek leaves are cooked to perfection, sprinkle garam masala powder over the dish for added flavor.",Serve hot with rotis or steamed rice.,Yes,180,30
Aloo Shimla Mirch,"Potatoes, Bell peppers (Shimla mirch), Onions, Tomatoes, Green chilies, Ginger-garlic paste, Turmeric powder, Cumin seeds, Coriander powder, Garam masala, Fresh coriander leaves, Oil, Salt","Preparation:

Wash the bell peppers (Shimla Mirch) and potatoes thoroughly under running water. Remove the seeds and core from the bell peppers and dice them into small pieces. Peel the potatoes and dice them into similar-sized pieces as the bell peppers.
Sautéing Aromatics:

Heat oil in a pan over medium heat.
Add cumin seeds and let them crackle.
Add finely chopped onions and sauté until they turn translucent.
Cooking Potatoes:

Add the diced potatoes to the pan.
Stir well to coat the potatoes with the onions and oil.
Cover the pan and cook the potatoes until they are partially tender, stirring occasionally.
Adding Spices:

Once the potatoes are partially cooked, add turmeric powder, red chili powder, coriander powder, and salt to taste.
Mix well to incorporate the spices evenly.
Adding Bell Peppers:

Add the diced bell peppers (Shimla Mirch) to the pan.
Mix well to combine the bell peppers with the potatoes and spices.
Cover the pan and let it cook for a few minutes until the bell peppers are slightly softened.
Simmering:

Uncover the pan and let the mixture simmer for a few more minutes until the potatoes are fully cooked and tender, and the bell peppers are cooked to your desired consistency.
Adjusting Seasoning:

Taste the dish and adjust the seasoning according to your preference, adding more salt or spices if needed.
Finishing Touches:

Once the potatoes and bell peppers are cooked to perfection, sprinkle garam masala powder over the dish for added flavor.
Serving:

Serve hot Aloo Shimla Mirch with roti, paratha, or rice.",Serve hot with rotis or steamed rice.,Yes,160,25
Aloo Tikki,"Potatoes, Green peas, Bread crumbs, Green chilies, Ginger, Coriander leaves, Garam masala, Chaat masala, Oil, Salt","Preparation:

Boil the potatoes until they are fork-tender. Once boiled, peel and mash them in a mixing bowl.
Mixing the Ingredients:

To the mashed potatoes, add finely chopped onion, green chili (if using), grated ginger, chopped coriander leaves, cumin powder, chaat masala, red chili powder, and salt to taste. Mix everything well to combine.
Forming Patties:

Divide the mixture into equal-sized portions and shape each portion into a flat round patty or tikki. You can make them as thick or thin as you prefer.
Coating:

Sprinkle some cornstarch or all-purpose flour on a plate. Gently coat each tikki with the cornstarch or flour on both sides. This helps in giving a crispy texture to the tikkis when fried.
Shallow Frying:

Heat oil in a shallow frying pan or skillet over medium heat.
Once the oil is hot, carefully place the tikkis in the pan, leaving enough space between them.
Shallow fry the tikkis until they turn golden brown and crispy on one side, then flip them gently and fry the other side until golden brown and crispy as well. This usually takes about 3-4 minutes per side.
Draining Excess Oil:

Once done, remove the tikkis from the pan and place them on a plate lined with paper towels to drain any excess oil.",Serve with chutney and yogurt as a popular Indian snack.,No,150,30
Anarsa,"Rice flour, Jaggery, Poppy seeds, Ghee, Oil for frying","Preparation of Rice:

Wash the rice thoroughly under running water until the water runs clear.
Soak the rice in water for at least 6-8 hours or overnight.
Grinding the Rice:

Drain the soaked rice completely and spread it on a clean cloth or paper towel to dry for about 15-20 minutes.
Grind the dried rice into a fine powder using a grinder or mixer. The rice flour should be fine in texture.
Preparation of Jaggery Syrup:

Heat a pan and add the grated or powdered jaggery along with 2 tablespoons of water.
Stir continuously on low heat until the jaggery melts completely and forms a syrup-like consistency. Ensure there are no lumps.
Strain the jaggery syrup to remove any impurities and let it cool down to room temperature.
Making Anarsa Dough:

In a large mixing bowl, take the rice flour.
Gradually add the cooled jaggery syrup to the rice flour and mix well to form a smooth dough. The dough should be pliable and hold its shape.
Shaping Anarsa:

Pinch off small portions of the dough and shape them into small flat discs or rounds, about 1/4 inch thick. You can use your hands or a mold for shaping.
Frying Anarsa:

Heat oil or ghee in a frying pan or kadhai over medium heat.
Once the oil is hot, carefully slide the shaped Anarsa into the oil, a few at a time, without overcrowding the pan.
Fry the Anarsa until they turn golden brown and crispy on both sides, flipping them occasionally for even cooking.
Remove the fried Anarsa using a slotted spoon and drain excess oil by placing them on paper towels.
Cooling and Storing:

Allow the fried Anarsa to cool completely before storing them in an airtight container. They can be stored for several days at room temperature.",Serve as a sweet snack during festivals or special occasions.,Yes,120,60
Ariselu,"Rice flour, Jaggery, Sesame seeds, Ghee, Oil for frying","Preparation of Rice Flour:

Wash the raw rice and soak it in water for about 4-5 hours or overnight.
Drain the water completely and spread the rice on a clean cloth or paper towel to dry for about 15-20 minutes.
Grind the dried rice into a fine powder using a grinder or mixer. The rice flour should be smooth and fine in texture.
Preparation of Jaggery Syrup:

In a thick-bottomed pan, add the grated or powdered jaggery along with 1/4 cup of water.
Heat the mixture on low flame until the jaggery completely dissolves, stirring continuously.
Strain the jaggery syrup to remove any impurities and let it cool down to room temperature.
Making the Ariselu Dough:

In a large mixing bowl, take the rice flour.
Gradually add the cooled jaggery syrup to the rice flour and mix well to form a smooth dough. The dough should be pliable and hold its shape.
Add cardamom powder to the dough and mix thoroughly.
Shaping Ariselu:

Take a small portion of the dough and shape it into a smooth ball.
Flatten the ball on a clean surface to form a small disc of about 1/4 inch thickness. You can use your hands or a rolling pin for this.
Frying Ariselu:

Heat oil in a deep frying pan or kadhai over medium heat.
Once the oil is hot, gently slide the shaped Ariselu into the oil, a few at a time, without overcrowding the pan.
Fry the Ariselu until they turn golden brown and crispy on both sides, flipping them occasionally for even cooking.
Remove the fried Ariselu using a slotted spoon and drain excess oil by placing them on paper towels.
Cooling and Storing:

Allow the fried Ariselu to cool completely before storing them in an airtight container. They can be stored for several days at room temperature.",Serve as a sweet delicacy during festivals.,Yes,150,60
bandar laddu,"Gram flour (besan), Ghee, Sugar, Cardamom powder, Nuts","Roasting Gram Flour:

Heat a heavy-bottomed pan or kadhai over low heat.
Add gram flour (besan) to the pan and dry roast it on low heat, stirring continuously to prevent burning. Roast until it turns aromatic and changes color slightly. This may take about 10-15 minutes. Ensure that the besan is roasted evenly.
Preparing Sugar Syrup:

In another pan, heat the ghee over low heat.
Add powdered sugar to the ghee and stir continuously until the sugar melts completely, forming a smooth syrup. This forms the binding agent for the laddu.
Mixing Ingredients:

Once the gram flour is roasted and the sugar syrup is ready, turn off the heat.
Gradually add the roasted gram flour to the sugar syrup, stirring continuously to combine well and avoid lumps.
Add cardamom powder to the mixture and mix thoroughly. You can also add chopped cashew nuts and raisins at this stage if using, for added flavor and texture.
Shaping Laddus:

Allow the mixture to cool down slightly until it's comfortable to touch but still warm.
Take small portions of the mixture and shape them into smooth, round laddus by rolling between your palms. The warmth from your hands will help in shaping the laddus.
Repeat the process until all the mixture is used up and laddus are formed.
Cooling and Storing:

Let the Bandar Laddus cool down completely at room temperature before storing them in an airtight container.
They can be stored at room temperature for a few weeks. Enjoy these delicious laddus as a sweet treat!",Serve as a sweet dessert.,No,200,45
Basundi,"Milk, Condensed milk, Almonds, Pistachios, Saffron strands, Cardamom powder","Prepare Ingredients:

Crush the saffron strands with a mortar and pestle. Soak them in a tablespoon of warm milk to release their flavor and color.
Chop the nuts finely. Keep aside for garnishing.
Boil the Milk:

Pour the full-fat milk into a heavy-bottomed pan.
Place the pan on medium heat and bring the milk to a boil.
Stir occasionally to prevent the milk from sticking to the bottom of the pan.
Simmer the Milk:

Once the milk comes to a boil, reduce the heat to low.
Let the milk simmer gently. Stir occasionally.
Scrape the cream formed on the sides of the pan and add it back to the milk.
Add Flavorings:

After the milk has reduced to about half its original quantity and thickened considerably (after about 45 minutes to 1 hour of simmering), add sugar, cardamom powder, saffron along with the milk it was soaked in, and chopped nuts.
Mix well to combine all the ingredients.
Continue Simmering:

Allow the mixture to simmer for another 10-15 minutes on low heat.
Stir occasionally to prevent the mixture from burning.
Check Consistency:

The Basundi should reach a thick, creamy consistency.
Adjust the sugar according to your taste preferences.
Cool Down:

Once the Basundi is done, turn off the heat and allow it to cool down to room temperature.",Serve chilled as a dessert.,No,250,60
